Sol ID,Live Count,Amt
6936,138,Aug'16
6938,63,Aug'16
6939,153,Aug'16
6941,80,Aug'16
6942,19,Aug'16
6943,76,Aug'16
6940,501,Aug'16
6937,38,Aug'16
0351,93,Aug'16
0808,58,Aug'16
1050,80,Aug'16
1566,44,Aug'16
1567,124,Aug'16
1568,74,Aug'16
6287,213,Aug'16
1914,54,Aug'16
0327,184,Aug'16
0971,79,Aug'16
3186,122,Aug'16
0309,111,Aug'16
0660,161,Aug'16
1570,193,Aug'16
1571,144,Aug'16
6282,158,Aug'16
2314,81,Aug'16
3187,174,Aug'16
3188,135,Aug'16
0912,190,Aug'16
1052,170,Aug'16
3189,89,Aug'16
0516,347,Aug'16
1574,165,Aug'16
3190,68,Aug'16
0809,289,Aug'16
1767,442,Aug'16
0661,281,Aug'16
1015,169,Aug'16
0515,145,Aug'16
0972,281,Aug'16
3192,79,Aug'16
0192,254,Aug'16
1020,217,Aug'16
1915,184,Aug'16
3193,186,Aug'16
0662,428,Aug'16
0663,176,Aug'16
0997,278,Aug'16
1575,228,Aug'16
1785,161,Aug'16
3194,219,Aug'16
0973,254,Aug'16
1916,141,Aug'16
0905,333,Aug'16
2590,214,Aug'16
0164,187,Aug'16
0979,351,Aug'16
1593,152,Aug'16
1594,62,Aug'16
1595,54,Aug'16
1596,157,Aug'16
1796,159,Aug'16
6954,84,Aug'16
2438,66,Aug'16
0664,190,Aug'16
3195,146,Aug'16
0810,316,Aug'16
0811,336,Aug'16
3196,115,Aug'16
0290,124,Aug'16
1572,124,Aug'16
3197,89,Aug'16
0813,307,Aug'16
3198,99,Aug'16
2441,105,Aug'16
0814,55,Aug'16
3199,38,Aug'16
0974,81,Aug'16
1576,148,Aug'16
3200,201,Aug'16
1257,233,Aug'16
1784,414,Aug'16
2458,90,Aug'16
0906,233,Aug'16
0817,313,Aug'16
0319,317,Aug'16
0907,247,Aug'16
1573,229,Aug'16
1919,233,Aug'16
1920,132,Aug'16
3201,105,Aug'16
0347,922,Aug'16
0665,550,Aug'16
3202,146,Aug'16
0239,239,Aug'16
0913,252,Aug'16
2459,142,Aug'16
0889,56,Aug'16
0890,322,Aug'16
3203,98,Aug'16
0249,130,Aug'16
1581,86,Aug'16
1763,84,Aug'16
1765,291,Aug'16
1104,113,Aug'16
0326,390,Aug'16
0600,165,Aug'16
0832,145,Aug'16
0998,89,Aug'16
1046,94,Aug'16
1583,134,Aug'16
1921,65,Aug'16
6288,346,Aug'16
6957,45,Aug'16
2372,139,Aug'16
3204,238,Aug'16
3518,1,Aug'16
1984,40,Aug'16
1001,43,Aug'16
1742,298,Aug'16
3206,156,Aug'16
1051,461,Aug'16
1054,1174,Aug'16
1725,887,Aug'16
3205,466,Aug'16
0214,91,Aug'16
0318,136,Aug'16
0325,141,Aug'16
0591,183,Aug'16
0833,82,Aug'16
1033,159,Aug'16
1047,105,Aug'16
1048,75,Aug'16
1258,112,Aug'16
1259,57,Aug'16
1260,87,Aug'16
1261,45,Aug'16
1262,134,Aug'16
1263,67,Aug'16
1264,95,Aug'16
1265,89,Aug'16
1671,32,Aug'16
6281,241,Aug'16
6958,39,Aug'16
6959,65,Aug'16
6961,12,Aug'16
2376,99,Aug'16
3566,2,Aug'16
1391,219,Aug'16
0274,184,Aug'16
1017,97,Aug'16
1582,106,Aug'16
1585,109,Aug'16
0666,254,Aug'16
0368,191,Aug'16
0667,131,Aug'16
0975,306,Aug'16
1266,173,Aug'16
1267,261,Aug'16
6285,350,Aug'16
6962,143,Aug'16
6963,53,Aug'16
6964,84,Aug'16
3207,149,Aug'16
3581,3,Aug'16
0818,505,Aug'16
3208,122,Aug'16
0190,114,Aug'16
0514,115,Aug'16
1586,264,Aug'16
1587,261,Aug'16
0436,388,Aug'16
0668,564,Aug'16
1588,182,Aug'16
1783,535,Aug'16
1922,261,Aug'16
3209,403,Aug'16
0240,213,Aug'16
0980,513,Aug'16
1599,131,Aug'16
1924,86,Aug'16
1018,200,Aug'16
1176,182,Aug'16
1597,196,Aug'16
0976,142,Aug'16
3210,192,Aug'16
1589,111,Aug'16
0819,198,Aug'16
0812,188,Aug'16
0977,175,Aug'16
1726,138,Aug'16
0669,210,Aug'16
3211,404,Aug'16
0191,270,Aug'16
1923,227,Aug'16
3212,129,Aug'16
0820,198,Aug'16
0908,345,Aug'16
3213,226,Aug'16
0821,376,Aug'16
0978,518,Aug'16
3214,297,Aug'16
0891,245,Aug'16
1081,237,Aug'16
1591,185,Aug'16
0443,252,Aug'16
0892,176,Aug'16
0533,301,Aug'16
0909,501,Aug'16
1600,154,Aug'16
1601,500,Aug'16
1794,222,Aug'16
1990,284,Aug'16
3508,1,Aug'16
0822,161,Aug'16
3215,193,Aug'16
0310,458,Aug'16
1297,214,Aug'16
1592,257,Aug'16
2179,136,Aug'16
6283,714,Aug'16
2404,345,Aug'16
3512,7,Aug'16
3511,26,Aug'16
2306,201,Aug'16
2302,152,Aug'16
3191,79,Aug'16
2413,32,Aug'16
2428,78,Aug'16
2508,113,Aug'16
2566,25,Aug'16
2547,41,Aug'16
1731,42,Aug'16
0233,67,Aug'16
2409,26,Aug'16
0066,114,Aug'16
0238,146,Aug'16
0554,86,Aug'16
0608,117,Aug'16
1893,60,Aug'16
6588,33,Aug'16
6593,59,Aug'16
2315,53,Aug'16
2316,63,Aug'16
3578,13,Aug'16
3606,17,Aug'16
3665,19,Aug'16
3666,27,Aug'16
3667,19,Aug'16
0163,154,Aug'16
6590,43,Aug'16
2416,60,Aug'16
3579,173,Aug'16
3670,28,Aug'16
3671,4,Aug'16
3728,18,Aug'16
0729,271,Aug'16
3600,76,Aug'16
0735,91,Aug'16
1992,216,Aug'16
2630,6,Aug'16
0013,61,Aug'16
0362,47,Aug'16
0782,61,Aug'16
0964,52,Aug'16
1084,58,Aug'16
1340,72,Aug'16
1341,23,Aug'16
1342,29,Aug'16
1343,9,Aug'16
1813,68,Aug'16
6322,96,Aug'16
6591,35,Aug'16
6592,30,Aug'16
2429,13,Aug'16
3415,22,Aug'16
3417,19,Aug'16
3416,7,Aug'16
3704,9,Aug'16
3607,3,Aug'16
3705,12,Aug'16
3713,11,Aug'16
0450,129,Aug'16
0965,56,Aug'16
1298,167,Aug'16
2415,23,Aug'16
0502,122,Aug'16
0172,323,Aug'16
6616,142,Aug'16
3377,73,Aug'16
2461,51,Aug'16
3604,132,Aug'16
0236,63,Aug'16
3427,21,Aug'16
3740,1,Aug'16
0082,101,Aug'16
0273,67,Aug'16
0612,46,Aug'16
1510,49,Aug'16
1511,66,Aug'16
1512,70,Aug'16
2176,40,Aug'16
2467,26,Aug'16
2468,19,Aug'16
3429,9,Aug'16
3576,3,Aug'16
3612,5,Aug'16
3732,4,Aug'16
3745,1,Aug'16
0266,138,Aug'16
0863,49,Aug'16
1041,54,Aug'16
1847,46,Aug'16
6945,66,Aug'16
2471,73,Aug'16
2646,48,Aug'16
2469,52,Aug'16
2645,37,Aug'16
3406,50,Aug'16
2470,16,Aug'16
2644,13,Aug'16
3392,8,Aug'16
0500,169,Aug'16
0936,124,Aug'16
1406,82,Aug'16
3738,1,Aug'16
6321,42,Aug'16
3673,13,Aug'16
3747,2,Aug'16
3739,4,Aug'16
0173,112,Aug'16
6617,88,Aug'16
2479,107,Aug'16
2480,18,Aug'16
3703,19,Aug'16
1619,34,Aug'16
0736,175,Aug'16
0594,166,Aug'16
2493,81,Aug'16
0017,179,Aug'16
0363,172,Aug'16
0413,206,Aug'16
0578,113,Aug'16
0642,61,Aug'16
0880,70,Aug'16
0966,57,Aug'16
1515,104,Aug'16
2180,27,Aug'16
6319,288,Aug'16
2377,41,Aug'16
3371,17,Aug'16
3367,16,Aug'16
2378,29,Aug'16
3660,49,Aug'16
3661,25,Aug'16
3663,5,Aug'16
3364,28,Aug'16
3662,21,Aug'16
3659,8,Aug'16
0451,151,Aug'16
2123,54,Aug'16
0237,127,Aug'16
6599,54,Aug'16
3568,28,Aug'16
0043,36,Aug'16
0935,31,Aug'16
1845,20,Aug'16
2511,3,Aug'16
3411,1,Aug'16
3414,16,Aug'16
0174,250,Aug'16
6619,84,Aug'16
2512,21,Aug'16
0162,239,Aug'16
0790,112,Aug'16
6603,102,Aug'16
2513,50,Aug'16
0168,146,Aug'16
6621,58,Aug'16
2522,36,Aug'16
0058,190,Aug'16
1525,27,Aug'16
1896,30,Aug'16
6600,20,Aug'16
3256,40,Aug'16
3421,2,Aug'16
1626,422,Aug'16
1698,135,Aug'16
6353,365,Aug'16
3668,28,Aug'16
0628,157,Aug'16
1407,70,Aug'16
0733,197,Aug'16
6622,92,Aug'16
3598,131,Aug'16
3597,27,Aug'16
0499,31,Aug'16
0504,56,Aug'16
6589,43,Aug'16
3736,8,Aug'16
3727,6,Aug'16
3672,8,Aug'16
0302,158,Aug'16
1405,125,Aug'16
6623,116,Aug'16
2526,25,Aug'16
0447,67,Aug'16
1408,128,Aug'16
0506,88,Aug'16
2379,10,Aug'16
0247,54,Aug'16
6624,80,Aug'16
2466,49,Aug'16
2543,18,Aug'16
2557,38,Aug'16
0271,89,Aug'16
2620,32,Aug'16
3930,8,Aug'16
3743,3,Aug'16
0407,84,Aug'16
2527,92,Aug'16
2528,11,Aug'16
2529,21,Aug'16
1846,102,Aug'16
2619,24,Aug'16
2596,43,Aug'16
2601,23,Aug'16
2559,16,Aug'16
2568,25,Aug'16
3407,7,Aug'16
3669,3,Aug'16
2602,19,Aug'16
2606,7,Aug'16
2546,101,Aug'16
1325,221,Aug'16
0430,772,Aug'16
2556,108,Aug'16
0431,305,Aug'16
1808,137,Aug'16
2607,112,Aug'16
2594,171,Aug'16
3707,44,Aug'16
0622,389,Aug'16
0265,669,Aug'16
0474,262,Aug'16
1848,122,Aug'16
2427,152,Aug'16
0465,262,Aug'16
0924,171,Aug'16
2437,133,Aug'16
0629,249,Aug'16
0196,452,Aug'16
0475,143,Aug'16
1410,182,Aug'16
1411,170,Aug'16
3346,24,Aug'16
0630,212,Aug'16
1334,477,Aug'16
1621,552,Aug'16
0434,36,Aug'16
2574,78,Aug'16
0463,608,Aug'16
1809,171,Aug'16
2560,20,Aug'16
2486,16,Aug'16
0631,129,Aug'16
0632,97,Aug'16
0710,336,Aug'16
0633,325,Aug'16
0433,413,Aug'16
0489,159,Aug'16
2460,97,Aug'16
3521,22,Aug'16
1976,198,Aug'16
1326,269,Aug'16
1633,346,Aug'16
1810,56,Aug'16
1006,157,Aug'16
1327,596,Aug'16
1635,67,Aug'16
1328,182,Aug'16
2134,116,Aug'16
1329,309,Aug'16
0306,897,Aug'16
1330,423,Aug'16
3345,250,Aug'16
3344,84,Aug'16
2507,23,Aug'16
1331,184,Aug'16
1332,294,Aug'16
0737,692,Aug'16
0307,463,Aug'16
0404,494,Aug'16
0579,193,Aug'16
0616,234,Aug'16
1333,170,Aug'16
6259,277,Aug'16
6349,195,Aug'16
2304,98,Aug'16
2436,164,Aug'16
2385,91,Aug'16
2382,104,Aug'16
1943,93,Aug'16
2383,59,Aug'16
3339,75,Aug'16
